Name,Fasta_Nr,Name,Short,species,place,Time,Food,Original_Food,Temp,part,GENOT,Exp_temp,Exp_time,Exp_food,Experiment,aniwat,,,,,,
X30,30,W_LIH_24A,W_LIH_24A_X30,water,LI,75,honey,honey,24,water,rot,Y,N,Y,waterL001,water,,cult,35,R1.fastq,W_LIH_24A_35,water_X30
X31,31,W_LIH_24B,W_LIH_24B_X31,water,LI,75,honey,honey,24,water,rot,Y,N,Y,waterL001,water,,cult,37,R1.fastq,W_LIH_24B_37,water_X31
X53,53,W_LIH_B,W_LIH_B_X53,water,LI,30,honey,honey,18,water,rot,N,N,Y,waterL001,water,,cult,89,R1.fastq,W_LIH_B_89,water_X53
X6,6,W_LIH_C1,W_LIH_C1_X6,water,LI,75,honey,honey,18,water,rot,Y,Y,Y,waterL001,water,,cult,11,R1.fastq,W_LIH_C1_11,water_X6
X20,20,W_LIH_C2,W_LIH_C2_X20,water,LI,75,honey,honey,18,water,rot,Y,Y,Y,waterL001,water,,cult,15,R1.fastq,W_LIH_C2_15,water_X20
X50,50,W_LIH,W_LIH_X50,water,LI,1,honey,honey,18,water,rot,N,Y,Y,waterL001,water,,cult,83,R1.fastq,W_LIH_83,water_X50
X39,39,W_LIK_18A,W_LIK_18A_X39,water,LI,75,Algae,honey,18,water,rot,Y,N,Y,waterL001,water,,cult,59,R1.fastq,W_LIK_18A_59,water_X39
X42,42,W_LIK_18B,W_LIK_18B_X42,water,LI,75,Algae,honey,18,water,rot,Y,N,Y,waterL001,water,,cult,65,R1.fastq,W_LIK_18B_65,water_X42
X45,45,W_LIK_24A,W_LIK_24A_X45,water,LI,75,Algae,Algae,24,water,rot,Y,N,Y,waterL001,water,,cult,71,R1.fastq,W_LIK_24A_71,water_X45
X46,46,W_LIK_24B,W_LIK_24B_X46,water,LI,75,Algae,Algae,24,water,rot,Y,N,Y,waterL001,water,,cult,73,R1.fastq,W_LIK_24B_73,water_X46
X8,8,W_LIK_C1,W_LIK_C1_X8,water,LI,75,Algae,Algae,18,water,rot,Y,Y,Y,waterL001,water,,cult,47,R1.fastq,W_LIK_C1_47,water_X8
X35,35,W_LIK_C2,W_LIK_C2_X35,water,LI,75,Algae,Algae,18,water,rot,Y,Y,Y,waterL001,water,,cult,51,R1.fastq,W_LIK_C2_51,water_X35
X56,56,W_LIK,W_LIK_X56,water,LI,1,Algae,Algae,18,water,rot,N,Y,Y,waterL001,water,,cult,95,R1.fastq,W_LIK_95,water_X56
