X,Number,Fastq_NR,Sequence_file_name,short_name_uparse,short_name_ngs,short,species,indval,Place,genus,spec_place,substrate,dataset,couples,couplesRW,sppl,rot_crus,Taxa,env_cult,ani_cult,NR,R1_R2,name,uni
X50,63,50,ID435-32_S30_L001_R1_001.fastq,32_30,LIK_B1,LIK_B1X50,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,bdell,cult,rotifer_cult,121,R1.fastq,LIH_C1_121,Lecane inermis_X65
X51,64,51,ID435-33_S27_L001_R1_001.fastq,33_27,LIK_B2,LIK_B2X51,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,bdell,cult,rotifer_cult,123,R1.fastq,LIH_C2_123,Lecane inermis_X66
X52,65,52,ID435-34_S28_L001_R1_001.fastq,34_28,W_LIK_B,W_LIK_BX52,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,87,R1.fastq,W_LIK_B_87,water_X52
X53,66,53,ID435-35_S29_L001_R1_001.fastq,35_29,AVK_1,AVK_1X53,Adineta vaga,Adineta vaga,L001,,Adineta vagaAVK,animal,rot,L001Adineta vaga,AVK,Adineta vagaL001,rotifer,bdell,cult,rotifer_cult,89,R1.fastq,AVK_1_89,Adineta vaga_X53
X54,67,54,ID435-36_S30_L001_R1_001.fastq,36_30,AVK_2,AVK_2X54,Adineta vaga,Adineta vaga,L001,,Adineta vagaAVK,animal,rot,L001Adineta vaga,AVK,Adineta vagaL001,rotifer,bdell,cult,rotifer_cult,91,R1.fastq,AVK_2_91,Adineta vaga_X54
X55,68,55,ID435-37_S37_L001_R1_001.fastq,37_37,W_AVK,W_AVKX55,water,NA,L001,,waterAVK,water,rot,L001water,AVK,waterL001,water,,cult,water_cult,93,R1.fastq,W_AVK_93,water_X55
X56,69,56,ID435-38_S38_L001_R1_001.fastq,38_38,AVS_1,AVS_1X56,Adineta vaga,Adineta vaga,L001,,Adineta vagaAVS,animal,rot,L001Adineta vaga,,Adineta vagaL001,rotifer,bdell,cult,rotifer_cult,95,R1.fastq,AVS_1_95,Adineta vaga_X56
X57,70,57,,,AVS_2,AVS_2X57,Adineta vaga,Adineta vaga,L001,,Adineta vagaAVS,animal,rot,L001Adineta vaga,,Adineta vagaL001,rotifer,bdell,cult,rotifer_cult,105,R1.fastq,AVS_2_105,Adineta vaga_X57
X58,71,58,,,W_AVS,W_AVSX58,water,NA,L001,,waterAVS,water,rot,L001water,,waterL001,water,,cult,water_cult,107,R1.fastq,W_AVS_107,water_X58
X59,72,59,,,AVH_1,AVH_1X59,Adineta vaga,Adineta vaga,L001,,Adineta vagaAVH,animal,rot,L001Adineta vaga,AVH,Adineta vagaL001,rotifer,bdell,cult,rotifer_cult,109,R1.fastq,AVH_1_109,Adineta vaga_X59
X6,73,6,ID435-1_S37_L001_R1_001.fastq,1_37,W_LIH_C1,W_LIH_C1X6,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,11,R1.fastq,W_LIH_C1_11,water_X6
X60,74,60,ID435-42_S42_L001_R1_001.fastq,42_42,AVH_2,AVH_2X60,Adineta vaga,Adineta vaga,L001,,Adineta vagaAVH,animal,rot,L001Adineta vaga,AVH,Adineta vagaL001,rotifer,bdell,cult,rotifer_cult,111,R1.fastq,AVH_2_111,Adineta vaga_X60
X61,75,61,ID435-43_S43_L001_R1_001.fastq,43_43,W_AVH,W_AVHX61,water,NA,L001,,waterAVH,water,rot,L001water,AVH,waterL001,water,,cult,water_cult,113,R1.fastq,W_AVH_113,water_X61
X64,78,64,ID435-46_S46_L001_R1_001.fastq,46_46,W_AP,W_APX64,water,NA,APS,,waterAPS,water,rot,APSwater,APS,waterL001,water,,cult,water_cult,119,R1.fastq,W_AP_119,water_X64
X65,79,65,ID435-47_S47_L001_R1_001.fastq,47_47,LIH_C1,LIH_C1X65,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,waterL001,water,,cult,water_cult,131,R1.fastq,W_LIH_24A_131,water_X65
X66,80,66,ID435-48_S48_L001_R1_001.fastq,48_48,LIH_C2,LIH_C2X66,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,waterL001,water,,cult,water_cult,13,R1.fastq,W_LIH_24B_13,water_X66
X67,81,67,ID792-59_S72_L001_R1_001.fastq,67_R1.fastq,W_A984,W_A984_X67,water,NA,A984,,waterA984,water,extra,A984water,A984Copepod,waterA984,water,,env,water_env,119,R1.fastq,W_A984_119,water_X67
X68,82,68,ID792-60_S73_L001_R1_001.fastq,68_R1.fastq,W_A985,W_A985_X68,water,NA,A985,,waterA985,water,rot,A985water,A985Keratella quadrata,waterA985,water,,env,water_env,121,R1.fastq,W_A985_121,water_X68
X69,83,69,ID792-61_S74_L001_R1_001.fastq,69_R1.fastq,W_A986,W_A986_X69,water,NA,A986,,waterA986,water,extra,A986water,A986nauplia copepod,waterA986,water,,env,water_env,123,R1.fastq,W_A986_123,water_X69
X7,84,7,ID435-2_S11_L001_R1_001.fastq,2_11,W_LIH_C2,W_LIH_C2X7,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,45,R1.fastq,W_LIH_C2_45,water_X7
X70,85,70,ID792-66_S75_L001_R1_001.fastq,70_R1.fastq,W_A992,W_A992_X70,water,NA,A992,,waterA992,water,rot,A992water,A992Simo,waterA992,water,,env,water_env,125,R1.fastq,W_A992_125,water_X70
X71,86,71,ID792-A05-33-A985-K1_S3_L001_R1_001.fastq,71_R1.fastq,A985-K1,A985-K1_X71,Keratella quadrata,Keratella,A985,Keratella,Keratella quadrataA985,animal,rot,A985Keratella quadrata,A985Keratella quadrata,Keratella quadrataA985,rotifer,mono,env,rotifer_env,133,R1.fastq,A985-K1_133,Keratella quadrata_X71
X72,87,72,ID792-A06-41-A990-KA_S4_L001_R1_001.fastq,72_R1.fastq,A990-KA,A990-KA_X72,Keratella,Keratella,A990,Keratella,KeratellaA990,animal,rot,A990Keratella,A990Keratella,KeratellaA990,rotifer,mono,env,rotifer_env,135,R1.fastq,A990-KA_135,Keratella_X72
X74,89,74,ID792-A07-49-A993-CB_S5_L001_R1_001.fastq,74_R1.fastq,A993-CB,A993-CB_X74,large calanoid copepod,Copepod,A993,,large calanoid copepodA993,animal,extra,A993large calanoid copepod,A993large calanoid copepod,large calanoid copepodA993,crustacean,cop,env,crustacean_env,139,R1.fastq,A993-CB_139,large calanoid copepod_X74
X75,90,75,ID792-A09-65-W-A991_S6_L001_R1_001.fastq,75_R1.fastq,A991-A991,A991-A991_X75,water,NA,A991,,waterA991,water,extra,A991water,A991Euchlanis,waterA991,water,,env,water_env,141,R1.fastq,A991-A991_141,water_X75
X77,92,77,ID792-B05-34-A985-K2_S16_L001_R1_001.fastq,77_R1.fastq,A985-K2,A985-K2_X77,Keratella quadrata,Keratella,A985,Keratella,Keratella quadrataA985,animal,rot,A985Keratella quadrata,A985Keratella quadrata,Keratella quadrataA985,rotifer,mono,env,rotifer_env,145,R1.fastq,A985-K2_145,Keratella quadrata_X77
X78,93,78,ID792-B06-42-A990-KB_S11_L001_R1_001.fastq,78_R1.fastq,A990-KB,A990-KB_X78,Keratella,Keratella,A990,Keratella,KeratellaA990,animal,rot,A990Keratella,A990Keratella,KeratellaA990,rotifer,mono,env,rotifer_env,147,R1.fastq,A990-KB_147,Keratella_X78
X79,94,79,ID792-B07-50-A994-SA_S12_L001_R1_001.fastq,79_R1.fastq,A994-SA,A994-SA_X79,Simo,Simo,A994,Simocephalus,Simocephalus A994,animal,extra,A994Simo,A994Simo,Simocephalus A994,crustacean,dap,env,crustacean_env,149,R1.fastq,A994-SA_149,Simocephalus _X79
X8,95,8,ID435-2_S26_L001_R1_001.fastq,2_26,W_LIH_C2,W_LIH_C2X8,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,47,R1.fastq,W_LIH_C2_47,water_X8
X80,96,80,ID792-B09-66-W-A992_S13_L001_R1_001.fastq,80_R1.fastq,A992-A992,A992-A992_X80,water,NA,A992,,waterA992,water,rot,A992water,A992Simo,waterA992,water,,env,water_env,151,R1.fastq,A992-A992_151,water_X80
X81,97,81,ID792-C04-27-A984-C1_S17_L001_R1_001.fastq,81_R1.fastq,A984-C1,A984-C1_X81,Copepod,Copepod,A984,,CopepodA984,animal,extra,A984Copepod,A984Copepod,CopepodA984,crustacean,cop,env,crustacean_env,153,R1.fastq,A984-C1_153,Copepod_X81
X82,98,82,ID792-C05-35-A986-1_S17_L001_R1_001.fastq,82_R1.fastq,A986-1,A986-1_X82,nauplia copepod,NA,A986,,nauplia copepodA986,animal,extra,A986nauplia copepod,A986nauplia copepod,nauplia copepodA986,crustacean,cop,env,crustacean_env,155,R1.fastq,A986-1_155,nauplia copepod_X82
X83,99,83,ID792-C05-35-A986-1_S18_L001_R1_001.fastq,83_R1.fastq,A986-1,A986-1_X83,nauplia copepod,NA,A986,,nauplia copepodA986,animal,extra,A986nauplia copepod,A986nauplia copepod,nauplia copepodA986,crustacean,cop,env,crustacean_env,157,R1.fastq,A986-1_157,nauplia copepod_X83
X84,100,84,ID792-C06-43-A991-E_S18_L001_R1_001.fastq,84_R1.fastq,A991-E,A991-E_X84,Euchlanis,NA,A991,,EuchlanisA991,animal,rot,A991Euchlanis,A991Euchlanis,EuchlanisA991,rotifer,mono,env,rotifer_env,159,R1.fastq,A991-E_159,Euchlanis_X84
