,Phylum,Class,Order,Family,Genus,Species
Zotu1085,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
Zotu1086,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Zoogloea,
Zotu1087,p:Proteobacteria,,,,,
Zotu1088,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Anaerosinus,
Zotu1089,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,,,
Zotu109,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Pirellula,
Zotu1090,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
Zotu1091,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,
Zotu1092,,,,,,
Zotu1093,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Microbacteriaceae,,
Zotu1094,p:Proteobacteria,c:Gammaproteobacteria,o:Methylococcales,f:Crenotrichaceae,g:Crenothrix,
Zotu1095,p:Proteobacteria,,,,,
Zotu1096,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Acidovorax,
Zotu1097,p:Actinobacteria,c:Actinobacteria,o:Frankiales,f:Sporichthyaceae,g:hgcI_clade,
Zotu1098,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,,,
Zotu1099,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:cvE6,,
Zotu11,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,,
Zotu110,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
Zotu1100,p:Proteobacteria,c:Gammaproteobacteria,o:Arenicellales,f:Arenicellaceae,g:Perspicuibacter,
Zotu1101,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
Zotu1102,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:cvE6,,
Zotu1103,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,,
Zotu1104,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Undibacterium,
Zotu1105,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella_9,
Zotu1106,,,,,,
Zotu1107,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
Zotu1108,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:Sediminibacterium,
Zotu1109,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
Zotu111,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Undibacterium,
Zotu1110,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
Zotu1111,p:Proteobacteria,,,,,
Zotu1112,p:Proteobacteria,c:Alphaproteobacteria,,,,
Zotu1113,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,,
Zotu1114,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Psychrobacter,
Zotu1115,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
Zotu1116,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,,
Zotu1117,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Luteolibacter,
Zotu1118,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:Patulibacteraceae,g:Patulibacter,
Zotu1119,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,,,
Zotu112,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Pseudoxanthomonas,
Zotu1120,p:Cyanobacteria,c:Chloroplast,,,,
Zotu1121,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Alkanindiges,
Zotu1122,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,g:Methylotenera,
Zotu1123,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Microbacter,
Zotu1124,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Flexibacter,
Zotu1125,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Asticcacaulis,
Zotu1126,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,s:Pseudomonas_sp._64[2012]
Zotu1127,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Acidovorax,
Zotu1128,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
Zotu1129,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfuromonadales,f:GR-WP33-58,,
